GameIndex,AwayTeam,HomeTeam,AwayPlay,HomePlay,PlayStartTime,PlayEndTime,Make,PlayType,ScoreDifference,ActualDecisionO,OptimalDecisionO,OptimalWP,ActualWP,ETM,ActualDecisionD,OptimalDecisionD,OptimalWPD,ActualWPD,DETM
8,OKC,ORL,0,1,149,126,0,3,6,3,2,0.932665557,0.925459384,0.007206173,0,0,0.932665557,0,0
8,OKC,ORL,1,0,125,115,1,2,-6,2,3,0.101399972,0.095218937,0.006181035,0,0,0.101399972,0,0
8,OKC,ORL,0,1,115,115,0,5,4,3,3,0.197838435,0.174919131,0,5,0,0.197838435,0.226136314,0
8,OKC,ORL,0,1,114,100,0,2,4,2,2,0.878137298,0.878028466,0.000108832,0,0,0.878137298,0,0
8,OKC,ORL,0,1,98,94,0,5,4,3,3,0.186124868,0.177815435,0,5,0,0.186124868,0.210664311,0
8,OKC,ORL,0,1,94,83,1,2,2,2,2,0.762446774,0.76081017,0.001636604,0,0,0.762446774,0,0
8,OKC,ORL,1,0,83,69,1,3,-4,3,3,0.174386892,0.170970822,0.00341607,0,0,0.174386892,0,0
8,OKC,ORL,0,1,69,58,0,2,1,2,2,0.686548058,0.684522638,0.00202542,0,0,0.686548058,0,0
8,OKC,ORL,1,0,56,43,0,3,-1,3,2,0.448288454,0.445286804,0.00300165,0,0,0.448288454,0,0
8,OKC,ORL,1,0,42,21,0,5,-1,2,2,0.727213217,0.722445502,0,5,0,0.727213217,0.8147793,0
8,OKC,ORL,1,0,21,17,1,2,-3,2,3,0.184528428,0.155687964,0.028840464,0,0,0.184528428,0,0
8,OKC,ORL,1,0,17,16,0,5,-1,2,2,0.966863822,0.75607028,0,5,5,0.830920774,0.835514637,0.004593862
8,OKC,ORL,1,0,16,14,1,3,-3,3,3,0.173889155,0.169047367,0.004841788,0,0,0.173889155,0,0
8,OKC,ORL,0,1,14,4,1,3,0,3,2,0.717311543,0.601311366,0.116000178,0,0,0.717311543,0,0
8,OKC,ORL,1,0,4,1,1,3,-3,3,3,0.136803977,0.124302205,0.012501773,0,5,0.124520246,0.136803977,0.012283731
9,OKC,ORL,0,1,174,167,0,0,-5,3,3,0.171464726,0.169207131,0.002257595,0,0,0.171464726,0,0
9,OKC,ORL,1,0,167,164,0,0,5,2,2,0.898143283,0.888645175,0.009498108,0,0,0.898143283,0,0
9,OKC,ORL,0,1,164,150,0,3,-5,3,3,0.166421129,0.164312164,0.002108965,0,0,0.166421129,0,0
9,OKC,ORL,1,0,141,126,0,3,5,3,2,0.907857706,0.902594724,0.005262982,0,0,0.907857706,0,0
9,OKC,ORL,0,1,125,118,0,2,-5,2,3,0.144801826,0.135342348,0.009459478,0,0,0.144801826,0,0
9,OKC,ORL,1,0,116,100,0,2,5,2,2,0.919476051,0.919474788,1.26E-06,0,0,0.919476051,0,0
9,OKC,ORL,1,0,99,98,0,5,5,3,3,0.127916868,0.114718517,0,5,0,0.127916868,0.144715588,0
9,OKC,ORL,1,0,98,82,0,2,3,2,2,0.837988625,0.837846884,0.000141741,0,0,0.837988625,0,0
9,OKC,ORL,1,0,81,78,0,5,3,3,3,0.247029099,0.230566458,0,5,0,0.247029099,0.278446958,0
9,OKC,ORL,1,0,78,63,0,2,1,2,2,0.686353343,0.685990966,0.000362377,0,0,0.686353343,0,0
9,OKC,ORL,1,0,61,61,0,2,1,2,2,0.702913102,0.656738092,0.04617501,0,0,0.702913102,0,0
9,OKC,ORL,1,0,60,41,0,3,1,3,2,0.704151987,0.681484759,0.022667227,0,0,0.704151987,0,0
