"GameIndex","AwayTeam","HomeTeam","Win","InitPoss","AwayETM","HomeETM","AwayDETM","HomeDETM","AwayWPstart","HomeWPstart","AwayWPend","HomeWPend","AwayCorrectO","HomeCorrectO","AwayCorrectD","HomeCorrectD","AwayPoss","HomePoss"
69,"ATL","MIN",1,0,0.106741194084102,0.0724619756991123,0,0.00940738327078927,0.209408979432791,0.790591020567209,0.000911702698768347,0.999088297301232,0,0,1,0,8,6
70,"DAL","SAS",1,0,0.0768436174536966,0.0772106496096094,0,0,0.189874775295877,0.810125224704123,0.0101321517552347,0.989867848244765,0,0,2,0,5,5
71,"CLE","TOR",1,0,0.0237137556739639,0.0224285770971633,0,0.00530012735448915,0.0930479480215142,0.906952051978486,0.000537209873966486,0.999462790126034,0,0,0,0,5,6
72,"CLE","CHA",-1,0,0.0783929703231537,0.104928509409899,0.00319472272132193,0,0.849113090922629,0.150886909077371,0.00579095427106502,0.994209045728935,0,0,0,2,7,8
73,"PHI","HOU",1,0,0.0690183900882388,0.0243912435889336,0,0,0.280001840029132,0.719998159970868,0.872619548562086,0.127380451437914,0,0,3,1,4,3
74,"BKN","CLE",1,0,0.071397437781212,0.072342472741122,0,0,0.451273581536,0.548726418464,0.283531913101907,0.716468086898093,0,0,1,0,5,5
75,"TOR","WAS",-1,1,0.186382618751836,0.0841847384460358,0,0,0.163222146368134,0.836777853631866,0.352106375855713,0.647893624144287,0,0,3,0,8,6
76,"DET","BKN",1,0,0.0730076576930459,0.0481038115249786,0.000604555645098925,0,0.296811905678139,0.703188094321861,0.00307429316485897,0.996925706835141,0,0,2,1,7,6
77,"MIL","CHA",1,1,0.0407212686811812,0.118392412992393,0,0,0.180338892192842,0.819661107807158,0.00253164494218589,0.997468355057814,0,0,1,0,5,6
78,"IND","LAL",-1,1,0.00952714825775925,0.0720461834465733,0,0,0.941274864110414,0.0587251358895865,0.0379019642797112,0.962098035720289,0,0,0,4,4,10
79,"HOU","NYK",0,0,0.135202356074179,0.0498122814774338,0,0,0.260844418143886,0.739155581856114,0.718160033878982,0.281839966121018,0,0,0,0,7,4
80,"HOU","NYK",-1,1,0.0409111473803745,0.107169709762535,0.0104729256344356,0,0.714166852113559,0.285833147886441,0.000593525833214037,0.999406474166786,0,0,0,2,3,7
81,"PHX","TOR",-1,0,0.0345810955652707,0.127417044612131,0.00511041290116143,0,0.462628411472601,0.537371588527399,0.000107674594401974,0.999892325405598,0,0,0,2,6,7
82,"SAS","CHI",1,1,0.0916689563179149,0.0697265323870984,0.0194395773800578,0,0.475028203999735,0.524971796000265,0.135545621495589,0.864454378504411,0,0,0,0,7,3
83,"GSW","UTA",-1,1,0.122272086563053,0.0997308416727232,0,0.0424119301908912,0.716830073023275,0.283169926976725,0.125987168931457,0.874012831068543,0,0,0,1,6,7
84,"PHX","BKN",1,0,0.0661144251838187,0.0664057597123502,0.0161675365942324,0.0442728481630883,0.164539331706777,0.835460668293223,0.11992162023794,0.88007837976206,0,0,0,0,5,6
85,"ORL","MIN",-1,1,0.0754681548085333,0.0511534951963077,0.0629892320150695,0.0162231797612506,0.638751653951379,0.361248346048621,0.120511317342942,0.879488682657058,0,0,0,2,6,7
86,"DAL","POR",0,0,0.118504411030982,0.123111470209145,0,0,0.0858883590709072,0.914111640929093,0.622886142371456,0.377113857628544,0,0,0,0,12,6
87,"PHX","DET",0,0,0.285687693093867,0.0105398364814059,0.104235672574809,0,0.618792615536785,0.381207384463215,0.664455302604139,0.335544697395861,0,0,0,0,8,3
88,"PHX","DET",1,1,0.100062012552157,0.118329105625166,0.00417007970998043,0.0548857866103687,0.109932231913836,0.890067768086164,0.00537092882285773,0.994629071177142,0,0,3,0,9,5
89,"LAL","WAS",-1,1,0.047814393754478,0.119263972638368,0,0,0.542367207703482,0.457632792296518,0.0316042164335262,0.968395783566474,0,0,0,3,5,7
90,"OKC","MIA",1,1,0.136138652442796,0.0789713644209948,0,0,0.463001592449438,0.536998407550562,0.258018998477354,0.741981001522646,0,0,0,0,6,5
91,"DEN","TOR",-1,0,0.0796078339419331,0.173182790880382,0.052805938558433,0,0.894024019513817,0.105975980486183,0.0114528877146484,0.988547112285352,0,0,0,2,2,9
92,"HOU","DAL",-1,0,0.146605730753198,0.083642916143959,0.0760578681736043,0,0.703000323346948,0.296999676653052,0.0544651566439012,0.945534843356099,0,0,0,0,6,5
93,"CLE","NOP",0,1,0.144784296649157,0.129818989848889,0,0,0.154543086902816,0.845456913097184,0.704547591067633,0.295452408932367,0,0,0,1,9,8
94,"PHX","WAS",1,0,0.110769086767393,0.0475151419530522,0.00417007970998043,0,0.848191867480608,0.151808132519392,0.122501884515484,0.877498115484516,0,0,2,0,7,4
95,"ORL","LAC",1,1,0.112641137940358,0.0352966315977722,0,0.0044081851981701,0.349286450526529,0.650713549473471,0.982427493930474,0.017572506069526,0,0,2,1,6,6
96,"DEN","PHI",-1,1,0.0862724344727478,0.0588412101304966,0.0214327080691185,0,0.219858106415405,0.780141893584595,0.000870541574687245,0.999129458425313,0,0,0,3,4,7
97,"BOS","SAS",1,0,0.0683237060877185,0.0532455151894105,0.0315269006120693,0.0205002241960652,0.374368313678316,0.625631686321684,0.125858912969834,0.874141087030166,0,0,2,0,7,5
98,"GSW","TOR",-1,0,0.00994659664523412,0.191262751862702,0,0.0156687338623046,0.481570391250918,0.518429608749082,0.141692312256685,0.858307687743315,0,0,1,3,3,5
99,"IND","UTA",0,0,0.271978889928362,0.125838652112707,0.059412912514665,0,0.775582835574504,0.224417164425496,0.608769539765383,0.391230460234617,0,0,0,2,6,6
100,"IND","UTA",1,0,0.202585290729003,0.131487800666316,0.0642285213265085,0,0.640610444393518,0.359389555606482,0.123022450660868,0.876977549339132,0,0,0,0,11,6
101,"PHX","MEM",1,0,0.218770465383953,0.137436474046672,0,0,0.365217561688494,0.634782438311506,0.173196708156787,0.826803291843213,0,0,0,0,8,9
102,"SAC","OKC",1,0,0.0405781307427973,0.0979204169541499,0.025452682605271,0,0.853575426405765,0.146424573594235,0.131129465805064,0.868870534194936,0,0,1,0,7,7
103,"PHX","CHI",0,0,0.112138855810308,0.0335586083523965,0,0,0.221631543875261,0.778368456124739,0.699511303756935,0.300488696243065,0,0,0,0,6,5
104,"POR","MIL",1,0,0.451658999398835,0.223745576729148,0.25324902539157,0.128192457349548,0.847954431332745,0.152045568667255,0.299298672524502,0.700701327475498,0,0,0,1,7,6
105,"LAC","MIN",-1,1,0.0942898750633698,0.0671395103568617,0,0,0.537105123244958,0.462894876755042,0.032337443511719,0.967662556488281,0,0,0,6,4,7
106,"HOU","BKN",1,0,0.046618762003154,0.0737434569704058,0,0.036776149346433,0.0840462102626191,0.915953789737381,0.00998238097593181,0.990017619024068,0,0,1,0,5,6
107,"POR","CLE",1,1,0.0588548897913313,0.017232706413974,0,0.0068041179302395,0.07375506759953,0.92624493240047,0.000630318354066259,0.999369681645934,0,0,3,0,10,6
108,"CHI","BOS",1,1,0.0290988132106595,0.0183350196507105,0,0.00718957711018919,0.207614050624917,0.792385949375083,0.00073231972673167,0.999267680273268,0,0,3,0,7,4
109,"ATL","DAL",-1,0,0.0343557862873139,0.0722194202415727,0,0,0.207061488243352,0.792938511756648,0.125151634770442,0.874848365229558,0,0,0,0,5,5
110,"MEM","DET",-1,0,0.0812618965046722,0.335505878191417,0,0.168332793555562,0.349914532030222,0.650085467969778,0.375869712533624,0.624130287466376,0,0,0,0,6,9
111,"LAL","MIN",0,0,0.0910613016448371,0.0638576158630844,0,0.0338388943150755,0.215784146836863,0.784215853163137,0.717839143164258,0.282160856835742,0,0,0,0,7,6
112,"LAL","MIN",1,1,0.0414912121883426,0.389981354604879,0,0.171400403093922,0.286673364367355,0.713326635632645,0.429513341579947,0.570486658420053,0,0,0,0,5,5
113,"ORL","PHX",1,1,0.144927113384677,0.0256934546273545,0.0278627143726897,0,0.282401534173871,0.717598465826129,0.123663991761949,0.876336008238051,0,0,1,0,6,3
